name,released,metacritic,rating,ratings_count,playtime,Platform,Genre,Publisher,NA_Sales(MM),EU_Sales(MM),JP_Sales(MM),Other_Sales(MM),Global_Sales(MM),price,Platform_Group
Half-Life,1998-11-19,96.0,4.37,2353,3,PC,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12,7.19,PC
Half-Life,1998-11-19,96.0,4.37,2353,3,PS2,Shooter,Vivendi Games,0.29,0.23,0.0,0.08,0.6,7.19,PlayStation Consoles
Oddworld: Abe's Oddysee,1997-09-19,85.0,3.53,555,3,PS,Platform,GT Interactive,0.75,0.44,0.0,0.06,1.24,1.99,PlayStation Consoles
Resident Evil,1996-03-22,91.0,4.18,788,4,PS,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,,PlayStation Consoles
Resident Evil,1996-03-22,91.0,4.18,788,4,SAT,Action,Capcom,0.0,0.0,0.17,0.0,0.17,,Other
Resident Evil,1996-03-22,91.0,4.18,788,4,PS3,Action,Capcom,0.0,0.0,0.12,0.0,0.12,,PlayStation Consoles
Quake,1996-06-22,94.0,4.25,474,1,N64,Shooter,GT Interactive,0.15,0.04,0.0,0.0,0.19,3.99,Nintendo Consoles
Tomb Raider II,1997-10-31,69.0,3.74,298,1,PS,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,4.99,PlayStation Consoles
Tomb Raider II,1997-10-31,69.0,3.74,298,1,PC,Action,Eidos Interactive,0.91,1.25,0.0,0.13,2.29,4.99,PC
Crash Bandicoot 3: Warped,1998-10-31,91.0,4.34,641,5,PS,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,,PlayStation Consoles
Legacy of Kain: Soul Reaver,1999-08-16,91.0,4.1,235,1,PS,Action,Eidos Interactive,0.58,0.4,0.0,0.07,1.04,4.99,PlayStation Consoles
Metal Gear Solid,1998-09-03,94.0,4.4,1110,1,PS,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,,PlayStation Consoles
Metal Gear Solid,1998-09-03,94.0,4.4,1110,1,GB,Action,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07,,Handhelds
Grand Theft Auto 2,1999-10-22,70.0,4.02,438,1,PS,Action,Take-Two Interactive,1.13,2.07,0.0,0.22,3.42,0.0,PlayStation Consoles
FINAL FANTASY VIII,1999-02-11,90.0,4.27,413,3,PS,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,9.99,PlayStation Consoles
The Legend of Zelda: Ocarina of Time,1998-11-21,99.0,4.39,838,7,N64,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,,Nintendo Consoles
The Legend of Zelda: Ocarina of Time,1998-11-21,99.0,4.39,838,7,3DS,Action,Nintendo,2.03,1.27,0.62,0.3,4.21,,Handhelds
Castlevania: Symphony of the Night,1997-03-20,93.0,4.36,539,19,PS,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,,PlayStation Consoles
DOOM,1993-12-10,83.0,4.39,805,0,PS,Shooter,Infogrames,0.43,0.3,0.0,0.05,0.78,14.99,PlayStation Consoles
DOOM,1993-12-10,83.0,4.39,805,0,GBA,Shooter,Activision,0.1,0.04,0.0,0.0,0.14,14.99,Handhelds
DOOM,1993-12-10,83.0,4.39,805,0,PC,Shooter,id Software,0.02,0.0,0.0,0.0,0.03,14.99,PC
Banjo-Kazooie,1998-05-31,92.0,4.24,317,2,N64,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65,,Nintendo Consoles
Banjo-Kazooie,1998-05-31,92.0,4.24,317,2,X360,Platform,Microsoft Game Studios,0.0,0.01,0.0,0.0,0.01,,Xbox Consoles
FINAL FANTASY VI,1994-04-02,92.0,4.38,383,4,PS,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.08,0.01,0.08,10.99,PlayStation Consoles
The Longest Journey,1999-11-18,91.0,4.37,217,1,PC,Adventure,Empire Interactive,0.0,0.01,0.0,0.0,0.02,5.99,PC
Super Mario World,1990-11-21,92.0,4.37,762,6,SNES,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,,Nintendo Consoles
Super Mario World,1990-11-21,92.0,4.37,762,6,GBA,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,,Handhelds
Super Mario 64,1996-06-23,94.0,4.42,720,12,N64,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,,Nintendo Consoles
Super Mario 64,1996-06-23,94.0,4.42,720,12,DS,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,,Handhelds
Sonic the Hedgehog 2,1992-11-21,78.0,4.29,381,5,GEN,Platform,Sega,4.47,1.2,0.16,0.19,6.03,,Other
The Legend of Zelda: A Link to the Past,1991-11-21,95.0,4.37,569,28,SNES,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,,Nintendo Consoles
The Legend of Zelda: A Link to the Past,1991-11-21,95.0,4.37,569,28,GBA,Action,Nintendo,1.75,0.52,0.33,0.1,2.7,,Handhelds
Silent Hill,1999-01-31,86.0,4.37,637,23,PS,Action,Konami Digital Entertainment,0.71,0.48,0.3,0.1,1.6,,PlayStation Consoles
StarCraft,1998-03-31,88.0,4.38,666,1,PC,Strategy,Activision,0.0,0.04,0.0,0.01,0.05,,PC
Chrono Trigger,1995-03-11,82.0,4.33,472,6,SNES,Role-Playing,SquareSoft,0.28,0.0,2.02,0.01,2.31,11.99,Nintendo Consoles
Chrono Trigger,1995-03-11,82.0,4.33,472,6,DS,Role-Playing,Square Enix,0.69,0.2,0.49,0.09,1.47,11.99,Handhelds
Diablo,1996-12-31,94.0,4.4,522,1,PC,Role-Playing,Activision,0.01,1.58,0.0,0.0,1.59,,PC
